dataset,metric,ours,baseline,n,ours_mean,base_mean,delta,ci_lo,ci_hi,p_two_sided,signif
orgaccess,balanced_accuracy,quest_kg,vanilla_rag,750,0.9333333333333332,0.904,0.0293333333333333,0.0,0.0586666666666666,0.0542,ns
orgaccess,balanced_accuracy,quest_kg_llm,vanilla_rag,750,0.9333333333333332,0.904,0.0293333333333333,0.0,0.0586666666666666,0.0542,ns
orgaccess,balanced_accuracy,quest_kg,graphrag,750,0.9333333333333332,0.908,0.0253333333333333,-0.004,0.0546666666666666,0.0888,ns
orgaccess,balanced_accuracy,quest_kg_llm,graphrag,750,0.9333333333333332,0.908,0.0253333333333333,-0.004,0.0546666666666666,0.0888,ns
orgaccess,balanced_accuracy,quest_kg,tog1,750,0.9333333333333332,0.812,0.1213333333333333,0.0866666666666666,0.156,0.0,***
orgaccess,balanced_accuracy,quest_kg_llm,tog1,750,0.9333333333333332,0.812,0.1213333333333333,0.0866666666666666,0.156,0.0,***
orgaccess,balanced_accuracy,quest_kg,tog2,750,0.9333333333333332,0.8173333333333334,0.116,0.0813333333333333,0.1506666666666666,0.0,***
orgaccess,balanced_accuracy,quest_kg_llm,tog2,750,0.9333333333333332,0.8173333333333334,0.116,0.0813333333333333,0.1506666666666666,0.0,***
orgaccess,balanced_accuracy,quest_kg,cok,750,0.9333333333333332,0.9026666666666666,0.0306666666666666,0.0013333333333334,0.0599999999999999,0.0422,*
orgaccess,balanced_accuracy,quest_kg_llm,cok,750,0.9333333333333332,0.9026666666666666,0.0306666666666666,0.0013333333333334,0.0599999999999999,0.0422,*
icews18,mrr,quest_kg,vanilla_rag,200,0.0526560563619387,0.01625,0.0364060563619387,0.0145878981516849,0.0587753700343773,0.002,**
icews18,mrr,quest_kg_llm,vanilla_rag,200,0.0526560563619387,0.01625,0.0364060563619387,0.0145878981516849,0.0587753700343773,0.002,**
icews18,mrr,quest_kg,graphrag,200,0.0526560563619387,0.0353575244200244,0.0172985319419142,-0.0080650270991263,0.0429165741019601,0.1754,ns
icews18,mrr,quest_kg_llm,graphrag,200,0.0526560563619387,0.0353575244200244,0.0172985319419142,-0.0080650270991263,0.0429165741019601,0.1754,ns
icews18,mrr,quest_kg,tog1,200,0.0526560563619387,0.0125,0.0401560563619387,0.0201681235941346,0.0611119007830404,0.0,***
icews18,mrr,quest_kg_llm,tog1,200,0.0526560563619387,0.0125,0.0401560563619387,0.0201681235941346,0.0611119007830404,0.0,***
icews18,mrr,quest_kg,tog2,200,0.0526560563619387,0.01125,0.0414060563619387,0.0217568258742891,0.0624527890512265,0.0,***
icews18,mrr,quest_kg_llm,tog2,200,0.0526560563619387,0.01125,0.0414060563619387,0.0217568258742891,0.0624527890512265,0.0,***
icews18,mrr,quest_kg,cok,200,0.0526560563619387,0.015,0.0376560563619387,0.0161544628267973,0.0598193005421865,0.0016,**
icews18,mrr,quest_kg_llm,cok,200,0.0526560563619387,0.015,0.0376560563619387,0.0161544628267973,0.0598193005421865,0.0016,**
webqsp,accuracy,quest_kg,vanilla_rag,1000,0.33,0.185,0.145,0.1119999999999999,0.177,0.0,***
webqsp,accuracy,quest_kg_llm,vanilla_rag,1000,0.397,0.185,0.212,0.178,0.245,0.0,***
webqsp,accuracy,quest_kg,graphrag,1000,0.33,0.114,0.216,0.184,0.247,0.0,***
webqsp,accuracy,quest_kg_llm,graphrag,1000,0.397,0.114,0.283,0.251,0.315,0.0,***
webqsp,accuracy,quest_kg,tog1,1000,0.33,0.019,0.311,0.2809999999999999,0.3399999999999999,0.0,***
webqsp,accuracy,quest_kg_llm,tog1,1000,0.397,0.019,0.378,0.347,0.409,0.0,***
webqsp,accuracy,quest_kg,tog2,1000,0.33,0.02,0.31,0.2799999999999999,0.3399999999999999,0.0,***
webqsp,accuracy,quest_kg_llm,tog2,1000,0.397,0.02,0.377,0.346,0.409,0.0,***
webqsp,accuracy,quest_kg,cok,1000,0.33,0.055,0.275,0.245,0.304,0.0,***
webqsp,accuracy,quest_kg_llm,cok,1000,0.397,0.055,0.342,0.311,0.373,0.0,***
cwq,accuracy,quest_kg,vanilla_rag,500,0.204,0.142,0.062,0.014,0.11,0.013,*
cwq,accuracy,quest_kg_llm,vanilla_rag,500,0.236,0.142,0.094,0.046,0.14,0.0,***
cwq,accuracy,quest_kg,graphrag,500,0.204,0.146,0.058,0.008,0.108,0.0244,*
cwq,accuracy,quest_kg_llm,graphrag,500,0.236,0.146,0.09,0.0419999999999999,0.138,0.0004,***
cwq,accuracy,quest_kg,tog1,500,0.204,0.062,0.142,0.102,0.184,0.0,***
cwq,accuracy,quest_kg_llm,tog1,500,0.236,0.062,0.174,0.132,0.216,0.0,***
cwq,accuracy,quest_kg,tog2,500,0.204,0.054,0.15,0.11,0.192,0.0,***
cwq,accuracy,quest_kg_llm,tog2,500,0.236,0.054,0.182,0.1399999999999999,0.224,0.0,***
cwq,accuracy,quest_kg,cok,500,0.204,0.094,0.11,0.07,0.15,0.0,***
cwq,accuracy,quest_kg_llm,cok,500,0.236,0.094,0.142,0.102,0.182,0.0,***
