method,dataset,n,ECE,AURC,primary_value
quest_kg_llm,cwq,500,0.0743,0.6743,0.236
quest_kg,cwq,500,0.0934,0.7338,0.204
graphrag,cwq,1000,0.4074,0.7706,0.145
vanilla_rag,cwq,1000,0.4146,0.7673,0.149
cok,cwq,500,0.656,0.8851,0.094
tog1,cwq,1000,0.749,0.9325,0.051
tog2,cwq,1000,0.751,0.9326,0.049
quest_kg,icews18,200,0.1787,0.9838,0.052656056361938715
quest_kg_llm,icews18,200,0.1787,0.9838,0.052656056361938715
graphrag,icews18,200,0.3675,0.9522,0.03535752442002442
vanilla_rag,icews18,200,0.5057,0.9614,0.01625
cok,icews18,200,0.75,0.995,0.015
tog1,icews18,200,0.8,0.995,0.0125
tog2,icews18,200,0.8,0.995,0.01125
tog1,orgaccess,750,0.012,0.3151,0.5151312009193642
tog2,orgaccess,750,0.0173,0.3227,0.4969673753431654
quest_kg,orgaccess,750,0.0666,0.0638,0.9632892804698971
quest_kg_llm,orgaccess,750,0.0666,0.0638,0.9632892804698971
cok,orgaccess,750,0.1527,0.2555,0.5
graphrag,orgaccess,750,0.4174,0.0351,0.5065121624209922
vanilla_rag,orgaccess,750,0.4407,0.0386,0.5072463768115942
quest_kg_llm,webqsp,1000,0.1042,0.5423,0.397
quest_kg,webqsp,1000,0.109,0.5915,0.33
vanilla_rag,webqsp,1000,0.301,0.6878,0.185
graphrag,webqsp,1000,0.3573,0.7824,0.114
cok,webqsp,1000,0.695,0.9323,0.055
tog2,webqsp,1000,0.78,0.9752,0.02
tog1,webqsp,1000,0.781,0.9785,0.019
