variant,dataset,n,primary_metric,primary_value,EM,balanced_accuracy,MRR,mean_latency_ms,wallclock_s,abstention_rate
full,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,16.699484980199486,8.8,0.0
no_bidir,orgaccess,200,balanced_accuracy,0.9362761367407899,0.93,0.9362761367407899,,1.0885055200196803,0.3,0.0
no_rel_bias,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.1421320200897753,0.5,0.0
no_answer_rescore,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.053427486680448,0.5,0.0
agg_sum,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.2205440048128366,0.5,0.0
hop_k=1,orgaccess,200,balanced_accuracy,0.5,0.655,0.5,,0.33595200860872865,0.1,0.0
hop_k=2,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.189643019810319,0.5,0.0
hop_k=3,orgaccess,200,balanced_accuracy,0.9507688903639784,0.94,0.9507688903639784,,8.634366996120661,1.9,0.0
hop_k=4,orgaccess,200,balanced_accuracy,0.5991260095143268,0.695,0.5991260095143268,,14.856058007571846,3.1,0.0
full,icews18,150,mrr,0.05668534787652434,0.006666666666666667,,0.05668534787652434,15.20669267512858,7.7,0.0
no_bidir,icews18,150,mrr,0.05668534787652434,0.006666666666666667,,0.05668534787652434,3.8571446699400744,0.7,0.0
no_rel_bias,icews18,150,mrr,0.06267055711173358,0.013333333333333334,,0.06267055711173358,3.8669779989868402,0.8,0.0
no_answer_rescore,icews18,150,mrr,0.05668534787652434,0.006666666666666667,,0.05668534787652434,3.80482269761463,0.7,0.0
agg_sum,icews18,150,mrr,0.05668534787652434,0.006666666666666667,,0.05668534787652434,3.7173526423672834,0.7,0.0
hop_k=1,icews18,150,mrr,0.05668534787652434,0.006666666666666667,,0.05668534787652434,3.4995806527634463,0.7,0.0
hop_k=2,icews18,150,mrr,0.039843961231216134,0.0,,0.039843961231216134,9.4124939913551,1.6,0.0
hop_k=3,icews18,150,mrr,0.03836334776334776,0.0,,0.03836334776334776,16.253623347729445,2.6,0.0
hop_k=4,icews18,150,mrr,0.03565553237612061,0.006666666666666667,,0.03565553237612061,25.51019868813455,4.0,0.0
full,webqsp,200,accuracy,0.335,0.335,,,48.57042997144163,256.5,0.0
no_bidir,webqsp,200,accuracy,0.325,0.325,,,53.716417509131134,237.6,0.0
no_rel_bias,webqsp,200,accuracy,0.325,0.325,,,45.09214198682457,236.2,0.0
no_answer_rescore,webqsp,200,accuracy,0.295,0.295,,,36.95545348338783,234.8,0.0
agg_sum,webqsp,200,accuracy,0.335,0.335,,,53.428399516269565,248.0,0.0
hop_k=1,webqsp,200,accuracy,0.335,0.335,,,47.2217860003002,235.7,0.0
hop_k=2,webqsp,200,accuracy,0.295,0.295,,,56.05643898015842,238.6,0.0
hop_k=3,webqsp,200,accuracy,0.3,0.3,,,59.427337516099215,244.6,0.0
hop_k=4,webqsp,200,accuracy,0.295,0.295,,,71.38177598826587,248.5,0.0
full,cwq,200,accuracy,0.215,0.215,,,82.15614499058574,142.7,0.0
no_bidir,cwq,200,accuracy,0.18,0.18,,,58.945675001014024,138.9,0.0
no_rel_bias,cwq,200,accuracy,0.21,0.21,,,74.14043500786647,146.1,0.0
no_answer_rescore,cwq,200,accuracy,0.175,0.175,,,49.265721493866295,137.3,0.0
agg_max,cwq,200,accuracy,0.17,0.17,,,85.31476049916819,149.6,0.0
hop_k=1,cwq,200,accuracy,0.2,0.2,,,53.177518993616104,143.9,0.0
hop_k=2,cwq,200,accuracy,0.085,0.085,,,55.92439000029117,143.2,0.0
hop_k=3,cwq,200,accuracy,0.215,0.215,,,69.14261451689526,141.1,0.0
hop_k=4,cwq,200,accuracy,0.115,0.115,,,76.57393449684605,142.5,0.0
