variant,dataset,n,primary_metric,primary_value,EM,balanced_accuracy,MRR,mean_latency_ms,wallclock_s,abstention_rate
full,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,17.10082699195482,4.8,0.0
no_bidir,orgaccess,200,balanced_accuracy,0.9362761367407899,0.93,0.9362761367407899,,1.087088993517682,0.3,0.0
no_rel_bias,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.331531991949305,0.6,0.0
no_answer_rescore,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.555714505724609,0.6,0.0
hop_k=1,orgaccess,200,balanced_accuracy,0.5,0.655,0.5,,0.45369899715296924,0.1,0.0
hop_k=2,orgaccess,200,balanced_accuracy,0.9580152671755725,0.945,0.9580152671755725,,2.331261986400932,0.6,0.0
hop_k=3,orgaccess,200,balanced_accuracy,0.8352140723531364,0.865,0.8352140723531364,,6.284288502065465,1.4,0.0
hop_k=4,orgaccess,200,balanced_accuracy,0.7410111738024118,0.8,0.7410111738024118,,9.52528600813821,2.0,0.0
full,icews18,150,mrr,0.039843961231216134,0.0,,0.039843961231216134,21.23520466964692,8.4,0.0
no_bidir,icews18,150,mrr,0.039843961231216134,0.0,,0.039843961231216134,9.111264000336329,1.6,0.0
no_rel_bias,icews18,150,mrr,0.045662884646217976,0.006666666666666667,,0.045662884646217976,8.413405320607126,1.5,0.0
no_answer_rescore,icews18,150,mrr,0.039843961231216134,0.0,,0.039843961231216134,9.015459328268966,1.6,0.0
hop_k=1,icews18,150,mrr,0.05668534787652434,0.006666666666666667,,0.05668534787652434,3.468631341432532,0.7,0.0
hop_k=2,icews18,150,mrr,0.039843961231216134,0.0,,0.039843961231216134,8.963961986203989,1.5,0.0
hop_k=3,icews18,150,mrr,0.04046330696021099,0.0,,0.04046330696021099,14.281105992073813,2.3,0.0
hop_k=4,icews18,150,mrr,0.03185161916431266,0.006666666666666667,,0.03185161916431266,19.738890663720667,3.2,0.0
full,webqsp,200,accuracy,0.295,0.295,,,52.02357599977404,257.0,0.0
no_bidir,webqsp,200,accuracy,0.29,0.29,,,48.63670600345358,238.5,0.0
no_rel_bias,webqsp,200,accuracy,0.3,0.3,,,54.437983508687466,239.4,0.0
no_answer_rescore,webqsp,200,accuracy,0.145,0.145,,,37.6945109909866,235.9,0.0
hop_k=1,webqsp,200,accuracy,0.335,0.335,,,50.01145949587226,242.6,0.0
hop_k=2,webqsp,200,accuracy,0.295,0.295,,,52.28726999252103,240.3,0.0
hop_k=3,webqsp,200,accuracy,0.3,0.3,,,60.39127150317654,240.7,0.0
hop_k=4,webqsp,200,accuracy,0.3,0.3,,,65.60407250421122,246.1,0.0
full,cwq,200,accuracy,0.16,0.16,,,53.88408800121397,141.8,0.0
no_bidir,cwq,200,accuracy,0.17,0.17,,,53.79658799851313,141.5,0.0
no_rel_bias,cwq,200,accuracy,0.13,0.13,,,51.445293496362865,140.2,0.0
no_answer_rescore,cwq,200,accuracy,0.035,0.035,,,38.37673449423164,139.6,0.0
hop_k=1,cwq,200,accuracy,0.19,0.19,,,49.16559650329873,143.3,0.0
hop_k=2,cwq,200,accuracy,0.16,0.16,,,53.2929179945495,142.0,0.0
hop_k=3,cwq,200,accuracy,0.22,0.22,,,61.10361399012618,144.6,0.0
hop_k=4,cwq,200,accuracy,0.17,0.17,,,68.2152619981207,145.7,0.0
