method,dataset,tag,n,ECE,Brier,NLL,AURC,mean_conf,accuracy
quest_kg,cwq,local-1080ti__symbolic-pqg-tk32-aggmax__seed0,500,0.86,1.72,17.822008644236373,0.8724019830365553,1.0,0.14
quest_kg,cwq,local-1080ti__symbolic-pqg-tk64-aggmax__seed0,500,0.886,1.772,18.360813556706308,0.8809476201163821,1.0,0.114
quest_kg,cwq,local-1080ti__symbolic-pqg-topk64__seed0,500,0.9,1.8,18.650939278805506,0.9133856671280152,1.0,0.1
quest_kg,cwq,local-1080ti__symbolic__seed0,500,0.09339628563233453,0.33872358720330115,0.5168514453360524,0.7337851299348149,0.2961631321806973,0.204
quest_kg,icews18,local-1080ti__symbolic__seed0,150,0.9733333333333333,1.9466666666666668,20.170645442182252,0.9837262277580421,0.98,0.006666666666666667
quest_kg,orgaccess,local-1080ti__symbolic__seed0,750,0.06660376365026988,0.13333926851754108,1.3816154938100742,0.06381141833826373,0.9999370969836032,0.9333333333333333
quest_kg,webqsp,local-1080ti__symbolic-pqg-tk16-aggmax__seed0,500,0.728,1.456,15.086537550158232,0.7464971099610929,1.0,0.272
quest_kg,webqsp,local-1080ti__symbolic-pqg-tk32-aggmax__seed0,500,0.764,1.528,15.832575121270454,0.779840603524671,1.0,0.236
quest_kg,webqsp,local-1080ti__symbolic-pqg-tk4-aggmax__seed0,500,0.642,1.284,13.304336685834594,0.6776020086696722,1.0,0.358
quest_kg,webqsp,local-1080ti__symbolic-pqg-tk8-aggmax__seed0,500,0.6739999999999999,1.348,13.9674811934899,0.7247223871378915,1.0,0.326
quest_kg,webqsp,local-1080ti__symbolic__seed0,500,0.11439074144026239,0.48876732057527833,0.6868705402480781,0.5684774924962027,0.4237794240594715,0.366
