variant,dataset,primary_metric,primary_value,mean_latency_ms,n
full,orgaccess,balanced_accuracy,0.9580152671755725,1.4930828952492448,200
-rel_bias,orgaccess,balanced_accuracy,0.9580152671755725,1.3866365345893428,200
-ans_rescore,orgaccess,balanced_accuracy,0.9580152671755725,1.5048487352760276,200
-bidir,orgaccess,balanced_accuracy,0.9435225135523841,0.7597709549008869,200
full,icews18,mrr,0.0363982652695888,5.82606513016799,200
-rel_bias,icews18,mrr,0.039345675567695686,5.6390605348860845,200
-ans_rescore,icews18,mrr,0.0363982652695888,6.6583373254252365,200
-bidir,icews18,mrr,0.0363982652695888,6.749635704472894,200
full,webqsp,accuracy,0.015,107.64740443039045,200
-rel_bias,webqsp,accuracy,0.005,94.9227134049579,200
-ans_rescore,webqsp,accuracy,0.005,90.93831007478002,200
-bidir,webqsp,accuracy,0.025,79.55725570958748,200
full,cwq,accuracy,0.06,76.66831361450022,200
-rel_bias,cwq,accuracy,0.045,71.07326001416368,200
-ans_rescore,cwq,accuracy,0.01,62.19370810016699,200
-bidir,cwq,accuracy,0.035,61.146475454370375,200
