method,dataset,n,ECE,AURC,mean_conf,mean_correct
cok,cwq,500,0.656,0.9112703920087473,0.75,0.094
cok,icews18,200,0.75,0.995,0.75,0.0
cok,orgaccess,750,0.15266666666666662,0.1626189257035357,0.75,0.9026666666666666
cok,webqsp,1000,0.695,0.9368874823655102,0.75,0.055
graphrag,cwq,1000,0.40744540556761094,0.7705849010076689,0.5524454055676109,0.145
graphrag,icews18,200,0.3675367976848128,0.9522249799809543,0.39253679768481275,0.025
graphrag,orgaccess,750,0.41741291918285545,0.03509783920649104,0.49058708081714447,0.908
graphrag,webqsp,1000,0.3572698390274485,0.7823961376654692,0.47126983902744857,0.114
quest_kg,cwq,1000,0.967,0.9595020294329949,1.0,0.033
quest_kg,icews18,200,0.6518857303157819,0.995,0.6518857303157819,0.0
quest_kg,orgaccess,750,0.06660376364906606,0.056832137695291086,0.9999370969823994,0.9333333333333333
quest_kg,webqsp,1000,0.97,0.9790686199475378,1.0,0.03
quest_kg_llm,cwq,500,0.07433903097319357,0.6743448201906568,0.29609118667091,0.236
quest_kg_llm,icews18,200,0.6518857303157819,0.995,0.6518857303157819,0.0
quest_kg_llm,orgaccess,750,0.06660376364906606,0.056832137695291086,0.9999370969823994,0.9333333333333333
quest_kg_llm,webqsp,1000,0.10417033716667848,0.5438040630680556,0.422447841819293,0.397
tog1,cwq,1000,0.7490000000000001,0.9317931751681443,0.8000000000000002,0.051
tog1,icews18,200,0.8,0.995,0.8,0.0
tog1,orgaccess,750,0.01200000000000001,0.23494537180836564,0.8,0.812
tog1,webqsp,1000,0.7810000000000001,0.9800778996680799,0.8000000000000002,0.019
tog2,cwq,1000,0.7510000000000001,0.9353117927980299,0.8000000000000002,0.049
tog2,icews18,200,0.8,0.995,0.8,0.0
tog2,orgaccess,750,0.01733333333333331,0.23238692895516014,0.8,0.8173333333333334
tog2,webqsp,1000,0.7800000000000001,0.9767132530106677,0.8000000000000002,0.02
vanilla_rag,cwq,1000,0.41460692548751826,0.767310011679245,0.5636069254875183,0.149
vanilla_rag,icews18,200,0.5057254020869733,0.9614234450823007,0.5207254020869732,0.015
vanilla_rag,orgaccess,750,0.440681583682696,0.038643441227052315,0.46331841631730397,0.904
vanilla_rag,webqsp,1000,0.30101613621413714,0.6877532082118112,0.4856283656805754,0.185
