k,dataset,n,primary_metric,primary_value,mean_latency_ms,wallclock_s
1,orgaccess,200,balanced_accuracy,0.5,0.2568061396596022,0.1
2,orgaccess,200,balanced_accuracy,0.9580152671755725,1.5533286448044237,0.4
3,orgaccess,200,balanced_accuracy,0.806615776081425,3.76076706481399,0.8
4,orgaccess,200,balanced_accuracy,0.7085960836375705,5.234659439811367,1.1
1,icews18,200,mrr,0.052656056361938715,1.8523098243167624,0.4
2,icews18,200,mrr,0.0363982652695888,5.822348620058619,1.2
3,icews18,200,mrr,0.039148361936481135,10.13111357431626,2.1
4,icews18,200,mrr,0.02852058048304178,16.129343490247265,3.3
1,webqsp,200,accuracy,0.075,64.4848148291203,13.1
2,webqsp,200,accuracy,0.015,108.88379539952439,22.0
3,webqsp,200,accuracy,0.05,118.85261419978633,24.0
4,webqsp,200,accuracy,0.025,135.3726520507189,27.3
1,cwq,200,accuracy,0.035,51.089718245202675,10.3
2,cwq,200,accuracy,0.06,77.3625574196194,15.6
3,cwq,200,accuracy,0.055,84.09487399505451,16.9
4,cwq,200,accuracy,0.06,95.51536485007091,19.2
