method,dataset,primary_metric,primary_value,EM,balanced_accuracy,pos_f1,MRR,hits_at_1,hits_at_10,token_f1,mean_latency_ms,abstention_rate,n
quest_kg,orgaccess,balanced_accuracy,0.9632892804698971,0.9333333333333333,0.9632892804698971,0.7340425531914894,,,,0.9333333333333333,9.164999210661032,0.0,750
quest_kg_llm,orgaccess,balanced_accuracy,0.9632892804698971,0.9333333333333333,0.9632892804698971,0.7340425531914894,,,,0.9333333333333333,1.4111088160070722,0.0,750
vanilla_rag,orgaccess,balanced_accuracy,0.5072463768115942,0.904,0.5072463768115942,0.02857142857142857,,,,0.904,1482.291236741334,0.0,750
graphrag,orgaccess,balanced_accuracy,0.5065121624209922,0.908,0.5065121624209922,0.028169014084507046,,,,0.908,1593.2719560346716,0.0,750
tog1,orgaccess,balanced_accuracy,0.5151312009193642,0.812,0.5151312009193642,0.07407407407407408,,,,0.812,7872.519798066668,0.0,750
tog2,orgaccess,balanced_accuracy,0.4969673753431654,0.8173333333333334,0.4969673753431654,0.02380952380952381,,,,0.8173333333333334,8951.162801316028,0.0,750
cok,orgaccess,balanced_accuracy,0.5,0.9026666666666666,0.5,0.0,,,,0.9026666666666666,9208.358211724015,0.0,750
quest_kg,icews18,mrr,0.0363982652695888,0.0,,,0.0363982652695888,0.0,0.135,0.0,13.315573635081819,0.0,200
quest_kg_llm,icews18,mrr,0.0363982652695888,0.0,,,0.0363982652695888,0.0,0.135,0.0,5.189403595013573,0.0,200
vanilla_rag,icews18,mrr,0.01625,0.015,,,0.01625,0.01,0.025,0.015,1477.9972695650033,0.0,200
graphrag,icews18,mrr,0.03535752442002442,0.025,,,0.03535752442002442,0.015,0.085,0.025,1563.2331936499759,0.0,200
tog1,icews18,mrr,0.0125,0.0,,,0.0125,0.005,0.03,0.0,8599.331281245157,0.0,200
tog2,icews18,mrr,0.01125,0.0,,,0.01125,0.005,0.025,0.0,9146.794133240128,0.0,200
cok,icews18,mrr,0.015,0.0,,,0.015,0.01,0.02,0.0,9079.87194747002,0.0,200
quest_kg,webqsp,accuracy,0.03,0.03,,,,0.03,,0.05699427004226955,104.62328384995999,0.0,1000
quest_kg_llm,webqsp,accuracy,0.053,0.053,,,,0.053,,0.08229111942963935,571.3646793769403,0.0,1000
vanilla_rag,webqsp,accuracy,0.185,0.185,,,,0.185,,0.2615666857100516,1517.7261360359405,0.0,1000
graphrag,webqsp,accuracy,0.114,0.114,,,,0.114,,0.19928152687207068,1577.5539125000141,0.0,1000
tog1,webqsp,accuracy,0.019,0.019,,,,0.019,,0.09838947088943684,8881.111280304009,0.0,1000
tog2,webqsp,accuracy,0.02,0.02,,,,0.02,,0.09971417968971255,9133.838533976994,0.0,1000
cok,webqsp,accuracy,0.055,0.055,,,,0.055,,0.13750164868753775,8836.44259894103,0.0,1000
quest_kg,cwq,accuracy,0.033,0.033,,,,0.033,,0.061337422544775484,87.63931666712597,0.0,1000
quest_kg_llm,cwq,accuracy,0.041,0.041,,,,0.041,,0.06714830447330447,574.5758364568393,0.0,1000
vanilla_rag,cwq,accuracy,0.149,0.149,,,,0.149,,0.2102908288540809,1599.9116942430046,0.0,1000
graphrag,cwq,accuracy,0.145,0.145,,,,0.145,,0.2117588754469415,1638.0144792569045,0.0,1000
tog1,cwq,accuracy,0.051,0.051,,,,0.051,,0.10219180872852358,9332.472677446967,0.0,1000
tog2,cwq,accuracy,0.049,0.049,,,,0.049,,0.10000811356621365,9465.041695586946,0.0,1000
cok,cwq,accuracy,0.094,0.094,,,,0.094,,0.14978862735395337,8965.31202034596,0.0,500
