dataset,metric,ours,baseline,n,ours_mean,base_mean,delta,ci_lo,ci_hi,p_two_sided,signif
orgaccess,balanced_accuracy,quest_kg,vanilla_rag,750,0.9333333333333333,0.904,0.029333333333333333,0.0,0.058666666666666645,0.0542,ns
orgaccess,balanced_accuracy,quest_kg_llm,vanilla_rag,750,0.9333333333333333,0.904,0.029333333333333333,0.0,0.058666666666666645,0.0542,ns
orgaccess,balanced_accuracy,quest_kg,graphrag,750,0.9333333333333333,0.908,0.025333333333333333,-0.0040000000000000036,0.05466666666666664,0.0888,ns
orgaccess,balanced_accuracy,quest_kg_llm,graphrag,750,0.9333333333333333,0.908,0.025333333333333333,-0.0040000000000000036,0.05466666666666664,0.0888,ns
orgaccess,balanced_accuracy,quest_kg,tog1,750,0.9333333333333333,0.812,0.12133333333333333,0.08666666666666667,0.15600000000000003,0.0,***
orgaccess,balanced_accuracy,quest_kg_llm,tog1,750,0.9333333333333333,0.812,0.12133333333333333,0.08666666666666667,0.15600000000000003,0.0,***
orgaccess,balanced_accuracy,quest_kg,tog2,750,0.9333333333333333,0.8173333333333334,0.116,0.08133333333333337,0.15066666666666662,0.0,***
orgaccess,balanced_accuracy,quest_kg_llm,tog2,750,0.9333333333333333,0.8173333333333334,0.116,0.08133333333333337,0.15066666666666662,0.0,***
orgaccess,balanced_accuracy,quest_kg,cok,750,0.9333333333333333,0.9026666666666666,0.030666666666666665,0.0013333333333334085,0.05999999999999994,0.0422,*
orgaccess,balanced_accuracy,quest_kg_llm,cok,750,0.9333333333333333,0.9026666666666666,0.030666666666666665,0.0013333333333334085,0.05999999999999994,0.0422,*
icews18,mrr,quest_kg,vanilla_rag,200,0.052656056361938715,0.01625,0.036406056361938714,0.014587898151684915,0.058775370034377376,0.002,**
icews18,mrr,quest_kg_llm,vanilla_rag,200,0.052656056361938715,0.01625,0.036406056361938714,0.014587898151684915,0.058775370034377376,0.002,**
icews18,mrr,quest_kg,graphrag,200,0.052656056361938715,0.03535752442002442,0.017298531941914295,-0.008065027099126364,0.042916574101960134,0.1754,ns
icews18,mrr,quest_kg_llm,graphrag,200,0.052656056361938715,0.03535752442002442,0.017298531941914295,-0.008065027099126364,0.042916574101960134,0.1754,ns
icews18,mrr,quest_kg,tog1,200,0.052656056361938715,0.0125,0.04015605636193872,0.02016812359413463,0.061111900783040476,0.0,***
icews18,mrr,quest_kg_llm,tog1,200,0.052656056361938715,0.0125,0.04015605636193872,0.02016812359413463,0.061111900783040476,0.0,***
icews18,mrr,quest_kg,tog2,200,0.052656056361938715,0.01125,0.04140605636193872,0.02175682587428911,0.062452789051226525,0.0,***
icews18,mrr,quest_kg_llm,tog2,200,0.052656056361938715,0.01125,0.04140605636193872,0.02175682587428911,0.062452789051226525,0.0,***
icews18,mrr,quest_kg,cok,200,0.052656056361938715,0.015,0.037656056361938715,0.016154462826797375,0.05981930054218656,0.0016,**
icews18,mrr,quest_kg_llm,cok,200,0.052656056361938715,0.015,0.037656056361938715,0.016154462826797375,0.05981930054218656,0.0016,**
webqsp,accuracy,quest_kg,vanilla_rag,1000,0.33,0.185,0.145,0.11199999999999999,0.17700000000000002,0.0,***
webqsp,accuracy,quest_kg_llm,vanilla_rag,1000,0.397,0.185,0.212,0.178,0.24500000000000002,0.0,***
webqsp,accuracy,quest_kg,graphrag,1000,0.33,0.114,0.216,0.184,0.247,0.0,***
webqsp,accuracy,quest_kg_llm,graphrag,1000,0.397,0.114,0.283,0.251,0.315,0.0,***
webqsp,accuracy,quest_kg,tog1,1000,0.33,0.019,0.311,0.28099999999999997,0.33999999999999997,0.0,***
webqsp,accuracy,quest_kg_llm,tog1,1000,0.397,0.019,0.378,0.347,0.409,0.0,***
webqsp,accuracy,quest_kg,tog2,1000,0.33,0.02,0.31,0.27999999999999997,0.33999999999999997,0.0,***
webqsp,accuracy,quest_kg_llm,tog2,1000,0.397,0.02,0.377,0.346,0.409,0.0,***
webqsp,accuracy,quest_kg,cok,1000,0.33,0.055,0.275,0.245,0.304,0.0,***
webqsp,accuracy,quest_kg_llm,cok,1000,0.397,0.055,0.342,0.311,0.373,0.0,***
cwq,accuracy,quest_kg,vanilla_rag,500,0.204,0.142,0.062,0.014000000000000012,0.11,0.013,*
cwq,accuracy,quest_kg_llm,vanilla_rag,500,0.236,0.142,0.094,0.04600000000000001,0.14,0.0,***
cwq,accuracy,quest_kg,graphrag,500,0.204,0.146,0.058,0.008000000000000007,0.108,0.0244,*
cwq,accuracy,quest_kg_llm,graphrag,500,0.236,0.146,0.09,0.04199999999999998,0.138,0.0004,***
cwq,accuracy,quest_kg,tog1,500,0.204,0.062,0.142,0.102,0.184,0.0,***
cwq,accuracy,quest_kg_llm,tog1,500,0.236,0.062,0.174,0.132,0.216,0.0,***
cwq,accuracy,quest_kg,tog2,500,0.204,0.054,0.15,0.11,0.192,0.0,***
cwq,accuracy,quest_kg_llm,tog2,500,0.236,0.054,0.182,0.13999999999999999,0.224,0.0,***
cwq,accuracy,quest_kg,cok,500,0.204,0.094,0.11,0.07,0.15000000000000002,0.0,***
cwq,accuracy,quest_kg_llm,cok,500,0.236,0.094,0.142,0.102,0.182,0.0,***
