method,dataset,coverage,risk
quest_kg,cwq,0.002,1.0
quest_kg,cwq,0.004,1.0
quest_kg,cwq,0.006,1.0
quest_kg,cwq,0.008,1.0
quest_kg,cwq,0.01,1.0
quest_kg,cwq,0.012,1.0
quest_kg,cwq,0.014,1.0
quest_kg,cwq,0.016,1.0
quest_kg,cwq,0.018,0.8888888888888888
quest_kg,cwq,0.02,0.9
quest_kg,cwq,0.022,0.9090909090909091
quest_kg,cwq,0.024,0.8333333333333334
quest_kg,cwq,0.026,0.8461538461538461
quest_kg,cwq,0.028,0.8571428571428572
quest_kg,cwq,0.03,0.8666666666666667
quest_kg,cwq,0.032,0.8125
quest_kg,cwq,0.034,0.8235294117647058
quest_kg,cwq,0.036,0.8333333333333334
quest_kg,cwq,0.038,0.8421052631578947
quest_kg,cwq,0.04,0.85
quest_kg,cwq,0.042,0.8095238095238095
quest_kg,cwq,0.044,0.8181818181818181
quest_kg,cwq,0.046,0.8260869565217391
quest_kg,cwq,0.048,0.8333333333333334
quest_kg,cwq,0.05,0.84
quest_kg,cwq,0.052,0.8461538461538461
quest_kg,cwq,0.054,0.8518518518518519
quest_kg,cwq,0.056,0.8571428571428572
quest_kg,cwq,0.058,0.8620689655172413
quest_kg,cwq,0.06,0.8666666666666667
quest_kg,cwq,0.062,0.8387096774193549
quest_kg,cwq,0.064,0.84375
quest_kg,cwq,0.066,0.8484848484848485
quest_kg,cwq,0.068,0.8529411764705882
quest_kg,cwq,0.07,0.8571428571428572
quest_kg,cwq,0.072,0.8611111111111112
quest_kg,cwq,0.074,0.8648648648648649
quest_kg,cwq,0.076,0.868421052631579
quest_kg,cwq,0.078,0.8717948717948718
quest_kg,cwq,0.08,0.85
quest_kg,cwq,0.082,0.8536585365853658
quest_kg,cwq,0.084,0.8571428571428572
quest_kg,cwq,0.086,0.8604651162790697
quest_kg,cwq,0.088,0.8636363636363636
quest_kg,cwq,0.09,0.8666666666666667
quest_kg,cwq,0.092,0.8695652173913043
quest_kg,cwq,0.094,0.8723404255319149
quest_kg,cwq,0.096,0.875
quest_kg,cwq,0.098,0.8571428571428572
quest_kg,cwq,0.1,0.86
quest_kg,cwq,0.102,0.8431372549019608
quest_kg,cwq,0.104,0.8461538461538461
quest_kg,cwq,0.106,0.8490566037735849
quest_kg,cwq,0.108,0.8518518518518519
quest_kg,cwq,0.11,0.8545454545454545
quest_kg,cwq,0.112,0.8571428571428572
quest_kg,cwq,0.114,0.8596491228070176
quest_kg,cwq,0.116,0.8620689655172413
quest_kg,cwq,0.118,0.864406779661017
quest_kg,cwq,0.12,0.8666666666666667
quest_kg,cwq,0.122,0.8688524590163934
quest_kg,cwq,0.124,0.8709677419354839
quest_kg,cwq,0.126,0.873015873015873
quest_kg,cwq,0.128,0.875
quest_kg,cwq,0.13,0.8769230769230769
quest_kg,cwq,0.132,0.8787878787878788
quest_kg,cwq,0.134,0.8805970149253731
quest_kg,cwq,0.136,0.8823529411764706
quest_kg,cwq,0.138,0.8840579710144928
quest_kg,cwq,0.14,0.8857142857142857
quest_kg,cwq,0.142,0.8873239436619719
quest_kg,cwq,0.144,0.8888888888888888
quest_kg,cwq,0.146,0.8904109589041096
quest_kg,cwq,0.148,0.8918918918918919
quest_kg,cwq,0.15,0.8933333333333333
quest_kg,cwq,0.152,0.881578947368421
quest_kg,cwq,0.154,0.8831168831168831
quest_kg,cwq,0.156,0.8846153846153846
quest_kg,cwq,0.158,0.8734177215189873
quest_kg,cwq,0.16,0.875
quest_kg,cwq,0.162,0.8765432098765432
quest_kg,cwq,0.164,0.8780487804878049
quest_kg,cwq,0.166,0.8795180722891567
quest_kg,cwq,0.168,0.8809523809523809
quest_kg,cwq,0.17,0.8823529411764706
quest_kg,cwq,0.172,0.8837209302325582
quest_kg,cwq,0.174,0.8850574712643678
quest_kg,cwq,0.176,0.8863636363636364
quest_kg,cwq,0.178,0.8876404494382022
quest_kg,cwq,0.18,0.8888888888888888
quest_kg,cwq,0.182,0.8901098901098901
quest_kg,cwq,0.184,0.8913043478260869
quest_kg,cwq,0.186,0.8924731182795699
quest_kg,cwq,0.188,0.8936170212765957
quest_kg,cwq,0.19,0.8947368421052632
quest_kg,cwq,0.192,0.8854166666666666
quest_kg,cwq,0.194,0.8865979381443299
quest_kg,cwq,0.196,0.8877551020408163
quest_kg,cwq,0.198,0.8888888888888888
quest_kg,cwq,0.2,0.89
quest_kg,cwq,0.202,0.8910891089108911
quest_kg,cwq,0.204,0.8823529411764706
quest_kg,cwq,0.206,0.8737864077669903
quest_kg,cwq,0.208,0.875
quest_kg,cwq,0.21,0.8761904761904762
quest_kg,cwq,0.212,0.8773584905660378
quest_kg,cwq,0.214,0.8785046728971962
quest_kg,cwq,0.216,0.8796296296296297
quest_kg,cwq,0.218,0.8807339449541285
quest_kg,cwq,0.22,0.8818181818181818
quest_kg,cwq,0.222,0.8828828828828829
quest_kg,cwq,0.224,0.8839285714285714
quest_kg,cwq,0.226,0.8849557522123894
quest_kg,cwq,0.228,0.8859649122807017
quest_kg,cwq,0.23,0.8782608695652174
quest_kg,cwq,0.232,0.8793103448275862
quest_kg,cwq,0.234,0.8803418803418803
quest_kg,cwq,0.236,0.8728813559322034
