method,dataset,EM,F1,abst,lat_ms,n,err
quest_kg,orgaccess,0.94,0.94,0.0,18.69716400280595,50,
quest_kg_llm,orgaccess,0.94,0.94,0.0,17.64919601380825,50,
vanilla_rag,orgaccess,0.16,0.16,0.0,2402.744961990975,50,
graphrag,orgaccess,0.64,0.64,0.0,2523.727340004407,50,
tog1,orgaccess,0.5,0.5,0.0,14090.53630800452,50,
tog2,orgaccess,0.56,0.56,0.0,14779.149288013577,50,
cok,orgaccess,0.56,0.56,0.0,15200.907031996176,50,
quest_kg,icews18,0.0,0.0,0.0,23.664877992123365,50,
quest_kg_llm,icews18,0.0,0.0,0.0,21.907433979213238,50,
vanilla_rag,icews18,0.02,0.02,0.0,2380.4574259975925,50,
graphrag,icews18,0.0,0.01,0.0,2328.9861580124125,50,
tog1,icews18,0.0,0.0,0.0,11809.299924005754,50,
tog2,icews18,0.0,0.0,0.0,13917.43760399986,50,
cok,icews18,0.0,0.0,0.0,14057.638116017915,50,
quest_kg,webqsp,0.04,0.08185168804363852,0.0,70.61239197384566,50,
quest_kg_llm,webqsp,0.04,0.06916670635865682,0.0,787.7756499871612,50,
vanilla_rag,webqsp,0.08,0.19552173382173382,0.0,2691.410601986572,50,
graphrag,webqsp,0.06,0.16028583435329968,0.0,2196.426444007084,50,
tog1,webqsp,0.0,0.11139110494824661,0.0,13305.131637998857,50,
tog2,webqsp,0.0,0.11658218399542665,0.0,13176.393713988364,50,
cok,webqsp,0.02,0.18081585573805253,0.0,14361.864404003136,50,
quest_kg,cwq,0.06,0.06,0.0,49.96987197548151,50,
quest_kg_llm,cwq,0.08,0.10222222222222221,0.0,751.8593179807067,50,
vanilla_rag,cwq,0.16,0.22086143486143484,0.0,2276.1506559699774,50,
graphrag,cwq,0.18,0.2563887298774855,0.0,2568.619626001455,50,
tog1,cwq,0.14,0.202678084753715,0.0,13796.537477993406,50,
tog2,cwq,0.16,0.23179335333606432,0.0,14316.889411970042,50,
cok,cwq,0.12,0.22596447640841233,0.0,14933.904466005042,50,
