qid,gold_e2,pred_e2,em,x_rank,confidence
0,105751,99165,0,318,0.9312402606010437
1,73595,139847,0,7240,0.8775516450405121
2,115231,115231,1,1,0.8805114328861237
3,71672,107188,0,23961,0.8857804238796234
4,103216,126996,0,675,0.9446726739406586
5,80867,120459,0,108,0.8927791118621826
6,95905,73569,0,3753,0.853716254234314
7,128564,132962,0,300,0.865411639213562
8,71913,72961,0,68,0.8918750286102295
9,126532,125629,0,662,0.8850455582141876
10,99499,120551,0,8,0.8970025777816772
11,124222,101642,0,1693,0.9004205763339996
12,70189,115970,0,7188,0.866578996181488
13,109707,79115,0,1142,0.9107482731342316
14,119525,119525,1,1,0.894048810005188
15,127995,82034,0,2473,0.8899329304695129
16,120562,106989,0,2571,0.8702934384346008
17,70566,120375,0,531,0.8824387490749359
18,96208,92336,0,16,0.9227378368377686
19,74434,99797,0,11309,0.908417284488678
20,126311,114662,0,9911,0.9209157824516296
21,75131,104412,0,106,0.9251046478748322
22,113973,84018,0,9135,0.9040031135082245
23,101445,76005,0,34435,0.8745149075984955
24,83398,85338,0,384,0.8801820576190948
25,125163,71543,0,377,0.8896606862545013
26,78790,78790,1,1,0.9160547852516174
27,128116,98732,0,213,0.8554416596889496
28,99182,76552,0,375,0.8533552885055542
29,112890,122917,0,9472,0.8831204175949097
30,105266,72187,0,71001,0.8736637532711029
31,79330,121824,0,183,0.8968049883842468
32,128212,104219,0,10,0.9158265292644501
33,79864,87381,0,88,0.9005490243434906
34,119299,93186,0,953,0.8621551990509033
35,116320,115359,0,6798,0.8799048066139221
36,139090,74781,0,2207,0.8981983363628387
37,98903,77928,0,2268,0.8822708129882812
38,70020,119370,0,7140,0.8816229104995728
39,116305,131764,0,15,0.895066112279892
40,119379,113449,0,20820,0.8575853109359741
41,108798,191338,0,2,0.8929651975631714
42,80079,87597,0,35,0.9532789587974548
43,127246,122390,0,2,0.934415191411972
44,100575,102499,0,384,0.9203002750873566
45,114687,114687,1,1,0.8805761337280273
46,110906,114506,0,2,0.9132257401943207
47,95592,124159,0,316,0.8783982992172241
48,134205,70300,0,6,0.88319331407547
49,92182,95798,0,3,0.9400442838668823
50,127296,86425,0,43,0.8845748603343964
51,107045,78951,0,52,0.8869545161724091
52,120805,196342,0,40,0.9260372817516327
53,116935,107700,0,330,0.9455843567848206
54,128439,124936,0,877,0.9016130566596985
55,132220,87695,0,3940,0.8892508447170258
56,104756,109890,0,17722,0.8744265139102936
57,85500,100808,0,2310,0.8825808763504028
58,79376,104544,0,289,0.919865220785141
59,78261,94417,0,37,0.9196459054946899
60,105482,76050,0,7119,0.8605455160140991
61,123618,107962,0,427,0.8976583182811737
62,110940,110940,1,1,0.8924717903137207
63,124450,115236,0,14581,0.883638858795166
64,138861,108032,0,681,0.8947688639163971
65,119909,196774,0,3466,0.9150895774364471
66,136918,115474,0,21755,0.8596429824829102
67,103124,137561,0,1715,0.8461493849754333
68,98681,110793,0,294,0.9066046476364136
69,110779,123995,0,11,0.908992201089859
70,88781,137561,0,95118,0.8685639500617981
71,122221,85338,0,11143,0.886484295129776
72,138031,91874,0,561,0.8494935929775238
73,133840,194516,0,24,0.8832003772258759
74,99884,109352,0,2436,0.860489547252655
75,117215,76885,0,42,0.8603301048278809
76,97839,129428,0,15,0.9188169836997986
77,106454,103214,0,431,0.8753243386745453
78,94990,71543,0,81,0.8585593998432159
79,102570,190414,0,1009,0.884613960981369
80,90910,82167,0,21099,0.8705180287361145
81,86036,138957,0,8216,0.8736296892166138
82,78868,94843,0,11131,0.8888929486274719
83,128403,127381,0,370,0.91192626953125
84,88616,77122,0,141,0.9205358028411865
85,139763,111125,0,9,0.867862343788147
86,126614,106452,0,116,0.8612533807754517
87,134910,102867,0,1035,0.861299455165863
